,model,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
0,model_1,"[0.18737999992370605, 0.2995399999523163, 0.3438600000476837, 0.373839999961853, 0.4006000000476837, 0.4224399999904633, 0.43725999992370607, 0.4526400000667572, 0.46546000007629396, 0.4789800000190735, 0.48835999984741213, 0.5005800001144409, 0.5120000001907349, 0.5193199998664856, 0.5293800001525879, 0.536260000038147, 0.5457199998664856, 0.5541000001716614, 0.56154, 0.573440000038147]","[0.32210000038146974, 0.38300000014305113, 0.39679999990463255, 0.42550000038146973, 0.46150000014305115, 0.4669999999046326, 0.4903000000476837, 0.5034000002384186, 0.49349999976158143, 0.5330000001907349, 0.5545000000953675, 0.5476000000953675, 0.5518000001907348, 0.5551999999046325, 0.5717000007629395, 0.5698000002861023, 0.5858999994277954, 0.5829999992370606, 0.6055000002861023, 0.5933999999046325]",0.5934,"[2.167269076385498, 1.9221863145828246, 1.810119517555237, 1.7336968259048462, 1.6600244888687135, 1.6044699362564088, 1.5595901940917969, 1.519323953704834, 1.4885306119155883, 1.4557277875900267, 1.4257106765365601, 1.4017813676071167, 1.3732398050308228, 1.3520264514923095, 1.3266926370239258, 1.3130185274124146, 1.2848161140441894, 1.2631849718856811, 1.2448265970993042, 1.2191022070693969]","[1.9560209949493408, 1.7525642404556274, 1.67523138256073, 1.5950116971969603, 1.4911439809799194, 1.4770055053710938, 1.4252360677719116, 1.37852396774292, 1.4160599515914918, 1.3147562692642212, 1.2779214431762695, 1.2844692001342772, 1.2534734012603759, 1.258634295272827, 1.210022713470459, 1.2125974813461304, 1.1753146730422974, 1.1810507429122925, 1.1232486972808837, 1.1529559658050537]",1.1529559185028075
1,model_2,"[0.1937799999141693, 0.30490000001907347, 0.34875999991416934, 0.37347999990463254, 0.3990800000190735, 0.41771999996185305, 0.4322800000667572, 0.44899999999046325, 0.4680400000095367, 0.47726000017166137, 0.49230000017166137, 0.50512, 0.5106200001907348, 0.5197599999332428, 0.529600000114441, 0.537359999961853, 0.5447999998092652, 0.5523200000953674, 0.559880000114441, 0.5681000000953674]","[0.327999999666214, 0.371000000333786, 0.4029999996185303, 0.4291999997615814, 0.4610000000476837, 0.4781999999046326, 0.5025000000476837, 0.501799999666214, 0.5195999999523163, 0.5154000001430511, 0.5499000001907348, 0.5462, 0.5693000001907349, 0.5694000000953674, 0.582200000667572, 0.5632000007629394, 0.5938999996185302, 0.5901000000953674, 0.5788000000953675, 0.6145999993324279]",0.6146,"[2.154402061882019, 1.9021249573898316, 1.7983327646255494, 1.725456588973999, 1.6610173936080932, 1.60692447681427, 1.5675112641906739, 1.5236722663116455, 1.484993769454956, 1.4496770031738282, 1.4215406137847901, 1.391783108215332, 1.3698963376235962, 1.3478650119400024, 1.3266445342254638, 1.3081992330932617, 1.2864231615829467, 1.2643483032226563, 1.2463419087982177, 1.231118884048462]","[1.9335890027999878, 1.7879094902038575, 1.6945837284088134, 1.6039234991073608, 1.518558135986328, 1.449276950073242, 1.39784577293396, 1.3879966819763183, 1.3531234622955322, 1.3695782424926757, 1.2814962196350097, 1.272154529762268, 1.220621728515625, 1.2314197481155396, 1.191263016319275, 1.240425498008728, 1.1564725538253784, 1.1497434072494508, 1.1883653768539428, 1.1050909275054932]",1.1050909337997437
2,model_3,"[0.18868, 0.28807999990463257, 0.33892000000953676, 0.3644200000667572, 0.38591999990463255, 0.40354000002861024, 0.4242400000667572, 0.4418399999046326, 0.45592000005722044, 0.46814000001907347, 0.4829400000286102, 0.49145999992370604, 0.5038999999427796, 0.514159999961853, 0.5246399999618531, 0.5295999999427795, 0.5419800000190735, 0.5495399998855591, 0.55814, 0.5649000001335144]","[0.24059999980926514, 0.38039999985694883, 0.3829999997138977, 0.3959999997138977, 0.4325000001430511, 0.47189999990463255, 0.47379999961853025, 0.46559999995231627, 0.4931999999523163, 0.4988000003814697, 0.5315999998569488, 0.5370999999523163, 0.5560000002861023, 0.5628999997138977, 0.5539000002861023, 0.5836000000953674, 0.5913999997138977, 0.5999000004768371, 0.5902000006675721, 0.5795000003814698]",0.5795,"[2.150164133758545, 1.940364182472229, 1.82033630859375, 1.751775812072754, 1.6928621077728272, 1.641101452331543, 1.584379103088379, 1.5499043042373657, 1.510316548728943, 1.4751414624786376, 1.4509662315750123, 1.4192598871994018, 1.3917185605239868, 1.364463772315979, 1.343578313331604, 1.320563642654419, 1.2986297912979126, 1.2778781136703492, 1.256725154838562, 1.2340698328781128]","[2.0590329872131345, 1.7766350118637084, 1.751110931968689, 1.688380859184265, 1.603720636177063, 1.4844013046264648, 1.4703458694458007, 1.5094742778778076, 1.4202012521743774, 1.3951670833587646, 1.3162012321472167, 1.2972288681030273, 1.2566099552154542, 1.2425257099151612, 1.256756819152832, 1.1866297414779663, 1.160614602279663, 1.143869319152832, 1.169694198036194, 1.211374287223816]",1.2113742961883545
3,model_4,"[0.19405999997138976, 0.29948, 0.34610000003814695, 0.3663999999141693, 0.38845999997138975, 0.40886000000953676, 0.42335999992370604, 0.4432399999332428, 0.4581800000190735, 0.46749999992370606, 0.47843999992370606, 0.4908600000095367, 0.4997800000762939, 0.509820000114441, 0.5181600001716614, 0.5248199999809265, 0.537699999885559, 0.5454399998283386, 0.5510199999427795, 0.5624400001335144]","[0.2986999999284744, 0.31500000023841856, 0.40159999980926514, 0.4169999998092651, 0.4423999997138977, 0.4679999996185303, 0.4614000003814697, 0.485999999666214, 0.492099999666214, 0.5149000000476838, 0.5272000001430511, 0.5244999998569488, 0.5525000002861022, 0.5581000007629394, 0.570800000667572, 0.5700000007629394, 0.5660000007629394, 0.5873999994277954, 0.6033999997138977, 0.592699999332428]",0.5927,"[2.157425417022705, 1.9233453380203247, 1.810581268157959, 1.7469044179534912, 1.6840456920623779, 1.631948034362793, 1.5865795412445067, 1.5432632459640503, 1.5071985155105592, 1.478976373939514, 1.4464533660125733, 1.4163812562179565, 1.3962592932891846, 1.3733164527893067, 1.354086794052124, 1.3305883527755737, 1.3037181031036378, 1.2860583545303346, 1.265664098815918, 1.2431038384246826]","[1.9919823600769042, 1.8925953838348388, 1.6829624742507934, 1.6312893438339233, 1.5606166938781738, 1.4753491483688355, 1.5161384897232055, 1.4386371892929077, 1.4126643503189087, 1.3454963609695434, 1.3403443775177002, 1.351618955039978, 1.2528770334243775, 1.2429598804473876, 1.2064615774154663, 1.210481828689575, 1.2354675769805907, 1.1684779514312744, 1.1404023916244508, 1.1507239795684814]",1.1507239532470703
4,model_5,"[0.19587999999046327, 0.3034200000572205, 0.3426199999141693, 0.36769999996185304, 0.3902800000858307, 0.4127799999141693, 0.42712000001907346, 0.4433999999141693, 0.4582800000190735, 0.47383999996185305, 0.48528000007629396, 0.4942000000572205, 0.5051999999332428, 0.5150199998474121, 0.5224800000953674, 0.5298799999046325, 0.5411199999046326, 0.5498400001716613, 0.557720000076294, 0.5627399998092651]","[0.2739000003814697, 0.35129999990463256, 0.39900000014305115, 0.4206999999046326, 0.4422000002384186, 0.4704000002384186, 0.48149999971389773, 0.47450000019073485, 0.5252000001430511, 0.5144000002384186, 0.5395000002861023, 0.5468999999046326, 0.5602000003814698, 0.5513000002861023, 0.576700000667572, 0.5866999997138977, 0.5856999995231629, 0.5985999996185303, 0.5972999995231628, 0.5957999994277954]",0.5958,"[2.142569738883972, 1.9224702601242065, 1.8151700133895874, 1.7475685181808471, 1.6843560864257812, 1.621883127670288, 1.5795141604995728, 1.5342270816802979, 1.4975950980377197, 1.465890195121765, 1.4375495468139647, 1.413763492050171, 1.3868870811080933, 1.3623305166244506, 1.3389753255081176, 1.3207553268814087, 1.298462195854187, 1.2754552403259278, 1.2564898900222778, 1.2395708712005615]","[1.9960543588638306, 1.8015221954345704, 1.6806426986694336, 1.6238460332870484, 1.5375331438064574, 1.4658956842422486, 1.4313215864181519, 1.446154972267151, 1.3438322786331176, 1.3525550956726073, 1.2982078580856322, 1.2754301467895508, 1.2410478462219239, 1.2572856636047363, 1.2058921566009522, 1.1838095094680785, 1.1758747621536254, 1.1445526947021485, 1.1476864404678344, 1.156604817199707]",1.1566048105239868
5,model_6,"[0.18518000004291535, 0.2962999999332428, 0.34282000007629393, 0.3751399999332428, 0.3993599999523163, 0.4152199999523163, 0.43333999990463257, 0.45229999997138975, 0.46242000000953676, 0.47594000019073485, 0.4865400000190735, 0.49843999990463256, 0.5085800000953674, 0.521140000038147, 0.5259799999332428, 0.5325400001144409, 0.5416199999618531, 0.5507399998855591, 0.5568599998855591, 0.5623600000762939]","[0.30980000009536746, 0.3852999996185303, 0.4155, 0.41800000004768373, 0.45399999985694883, 0.45950000014305115, 0.4915999996185303, 0.5041000000476837, 0.5160000001430511, 0.49550000004768374, 0.5408000002384186, 0.5423000003814697, 0.5547000000953675, 0.5385000003814697, 0.5722000000953674, 0.5589999994277954, 0.5969999996185302, 0.6043999999046326, 0.6021999999046326, 0.5929999992370606]",0.593,"[2.161285774536133, 1.9305516041946411, 1.8135199319458009, 1.7288981172943114, 1.6653478379821778, 1.6127527616119384, 1.5658107820892333, 1.5237004256820679, 1.4917412498855591, 1.4590607161712645, 1.4312863228607178, 1.4056608387756349, 1.3800629641342164, 1.3509424905395508, 1.3346130995941161, 1.314994716720581, 1.2963746349334717, 1.2744033193588258, 1.2525587815093995, 1.2345233498382568]","[1.9912870178222657, 1.7729000476837158, 1.663841975402832, 1.6282943464279174, 1.5089120971679688, 1.523622878265381, 1.417560375404358, 1.3938133699417115, 1.3560799627304077, 1.3950375490188598, 1.2845561151504516, 1.2895656808853149, 1.247120276260376, 1.2931425886154175, 1.2160731756210328, 1.2346296339035034, 1.1551965255737304, 1.1330664352416993, 1.128610181427002, 1.1639477586746216]",1.1639477378845215
6,model_7,"[0.19034000009536745, 0.3025400000572205, 0.3447799999523163, 0.37537999997138977, 0.397879999961853, 0.41736000009536744, 0.4363, 0.45017999996185304, 0.46681999994277956, 0.47755999992370607, 0.49134000007629397, 0.5008600000762939, 0.5091800001144409, 0.5202399998664856, 0.5265199998855591, 0.536399999923706, 0.5423399998283386, 0.547000000038147, 0.5559599999618531, 0.5612199999046326]","[0.33180000004768373, 0.3857999996185303, 0.4116999999046326, 0.4296000002861023, 0.4520999997138977, 0.4719000002384186, 0.4853999998092651, 0.4977, 0.5009999999523163, 0.5276000001430512, 0.5339000002384185, 0.5213000001430511, 0.5493999999046326, 0.571799999332428, 0.5702000007629394, 0.5741999993324279, 0.582599999332428, 0.5901999996185303, 0.6005999997138977, 0.5965999998092651]",0.5966,"[2.1372486490631104, 1.9025048303222656, 1.7949635681533813, 1.720878421897888, 1.656858807106018, 1.5981513089370727, 1.5565652429962158, 1.5221406196212768, 1.4872461179351806, 1.4545902988433839, 1.4231092797088623, 1.4020368238449097, 1.3753285340881347, 1.3532304983139039, 1.331552848739624, 1.3115422859573365, 1.2927361960601806, 1.2752930166244507, 1.2590408857727051, 1.2375641948699951]","[1.9310345275878906, 1.7359683765411378, 1.644550200653076, 1.584013765335083, 1.5166733827590941, 1.4841859430313111, 1.4289895858764647, 1.3986471206665039, 1.370831029510498, 1.3136995960235596, 1.313387466621399, 1.3197276453018187, 1.2665373945236207, 1.2108209894180297, 1.2086582302093505, 1.19303012714386, 1.1690428695678712, 1.1671581668853759, 1.1298826148986816, 1.1441518001556397]",1.1441517652511597
7,model_8,"[0.1963599999523163, 0.30601999995231627, 0.3504400000572205, 0.37405999998092654, 0.3951199999427795, 0.4162999999332428, 0.43379999999046326, 0.44768, 0.4641799999523163, 0.47840000007629396, 0.48889999998092654, 0.4996400000953674, 0.5075800001335145, 0.5169200001907349, 0.5276600001144409, 0.5370400000762939, 0.5429800001525878, 0.5547399998855591, 0.5550000001335144, 0.5661599998855591]","[0.34769999961853026, 0.3915999997138977, 0.4177, 0.41950000019073486, 0.45709999976158144, 0.4649000000953674, 0.4691, 0.4787999998569489, 0.5074000002384186, 0.5130999998092651, 0.5141999999046326, 0.5534000001907349, 0.5352000005722046, 0.5614999999046326, 0.574699999332428, 0.5756999999046326, 0.5924999992370605, 0.6038999997138977, 0.6002000001907348, 0.6045999994277954]",0.6046,"[2.136960839767456, 1.8988119653701783, 1.7972481321334839, 1.7265468980407714, 1.6675526108932495, 1.6125530986785888, 1.5686511318588257, 1.5271636890411378, 1.4836519457244872, 1.4551323064422608, 1.4265517250442505, 1.3958351983642578, 1.3720197143936157, 1.352895085372925, 1.3256551192092896, 1.3078864962387085, 1.2863872500228881, 1.2655308388900757, 1.2539971377944947, 1.227761608505249]","[1.9166609552383422, 1.739482045173645, 1.6477153818130492, 1.6346559688568114, 1.5208738708496095, 1.4758497505187989, 1.4535489320755004, 1.4634016534805299, 1.3899389295578002, 1.3640183279037477, 1.3747004528045654, 1.2694520322799683, 1.2924581924438476, 1.249001641845703, 1.1965509344100953, 1.2126162740707398, 1.1625811475753784, 1.1319783725738526, 1.1429443607330323, 1.1221638648986816]",1.1221638418197633
8,model_9,"[0.17744000001430513, 0.2922200000667572, 0.3365999999713898, 0.3636399999046326, 0.3852399999523163, 0.4044400000476837, 0.4234399999141693, 0.4415000000762939, 0.45382000001907347, 0.4685199999237061, 0.4815399999809265, 0.48912000000953676, 0.5037599999046326, 0.5087399999427795, 0.522639999923706, 0.5292600001335144, 0.5370400001907348, 0.5428600001335144, 0.5548999998664856, 0.5596200001335144]","[0.29379999976158144, 0.3635999997615814, 0.40200000019073484, 0.42629999985694883, 0.4338999998569488, 0.4262000002384186, 0.4447999997138977, 0.47890000019073486, 0.4924000001907349, 0.5236999997615814, 0.5306000000953675, 0.5465999999046326, 0.5602999996185303, 0.5703000002861023, 0.5365000005722046, 0.5667999992370606, 0.5541000002861023, 0.5821000006675721, 0.5883999998092652, 0.6029999997138977]",0.603,"[2.1771557891082765, 1.9356932065200805, 1.82652255279541, 1.7569696913528443, 1.696330225982666, 1.6397860778427125, 1.5981370572662355, 1.5515788633346557, 1.517380078086853, 1.4839226558303833, 1.450661803665161, 1.4223043252182006, 1.3966699107742309, 1.3727172774887084, 1.3477128713607789, 1.3290532386398315, 1.3047913802719115, 1.2914931620407104, 1.261566270980835, 1.252628952255249]","[1.9844225332260133, 1.7964665817260743, 1.677367790222168, 1.6153605363845824, 1.5685264186859131, 1.6050380462646485, 1.5577680879592894, 1.4368865337371826, 1.4065012718200685, 1.3371671085357666, 1.316000255393982, 1.2735670488357544, 1.2452642524719237, 1.2185278087615967, 1.3008821197509766, 1.2134216247558594, 1.2406719058990479, 1.1804348070144652, 1.1673530700683594, 1.1217888257980346]",1.1217887817382812
